Sistema,Idade_Anos,Tipo_Solo,Profundidade_cm,Ph,MO_g_dm3,P_Disponivel_mg_dm3,P_Total_g_kg,Carbono_Total_g_kg,Densidade_Solo_g_cm3,Produtividade_Cacau_sc_ha,Cobertura_Arborea_%
SAF_Cacau_Jacaranda,5,Argissolo,0-20,5.8,28.5,12.3,0.45,15.8,1.25,18.5,65
SAF_Cacau_Jacaranda,5,Argissolo,20-40,5.6,22.3,8.7,0.38,12.3,1.38,18.5,65
Monocultivo_Cacau,5,Argissolo,0-20,5.2,18.2,15.8,0.52,10.5,1.42,22.3,15
Monocultivo_Cacau,5,Argissolo,20-40,5.1,15.8,10.2,0.41,8.9,1.51,22.3,15
SAF_Cacau_Inga,8,Latossolo,0-20,6.2,35.8,18.9,0.68,20.8,1.18,25.8,78
SAF_Cacau_Inga,8,Latossolo,20-40,6.0,28.9,12.4,0.52,16.7,1.32,25.8,78
Monocultivo_Cacau,8,Latossolo,0-20,5.6,22.4,20.3,0.75,12.9,1.35,28.9,20
Monocultivo_Cacau,8,Latossolo,20-40,5.4,18.7,14.8,0.58,10.8,1.45,28.9,20
SAF_Cacau_Eucalipto,3,Neossolo,0-20,5.4,20.8,9.8,0.35,12.1,1.32,12.3,45
SAF_Cacau_Eucalipto,3,Neossolo,20-40,5.3,16.9,6.5,0.28,9.8,1.41,12.3,45
Monocultivo_Cacau,3,Neossolo,0-20,5.1,15.3,11.2,0.42,8.9,1.48,15.6,10
Monocultivo_Cacau,3,Neossolo,20-40,5.0,12.8,7.9,0.33,7.4,1.56,15.6,10
SAF_Cacau_Jacaranda,12,Argissolo,0-20,6.5,42.3,25.8,0.92,24.5,1.15,32.8,85
SAF_Cacau_Jacaranda,12,Argissolo,20-40,6.3,35.2,18.3,0.75,20.3,1.28,32.8,85
Monocultivo_Cacau,12,Argissolo,0-20,5.8,25.6,28.9,1.05,14.8,1.38,35.2,18
Monocultivo_Cacau,12,Argissolo,20-40,5.6,21.3,19.7,0.82,12.3,1.49,35.2,18
SAF_Cacau_Inga,15,Latossolo,0-20,6.8,48.9,32.5,1.18,28.3,1.12,38.9,92
SAF_Cacau_Inga,15,Latossolo,20-40,6.6,40.2,22.8,0.95,23.2,1.25,38.9,92
Monocultivo_Cacau,15,Latossolo,0-20,6.2,30.8,35.2,1.28,17.8,1.32,42.3,22
Monocultivo_Cacau,15,Latossolo,20-40,6.0,25.9,24.6,1.02,14.9,1.42,42.3,22
SAF_Cacau_Eucalipto,10,Neossolo,0-20,6.1,38.7,22.3,0.82,22.4,1.22,28.7,68
SAF_Cacau_Eucalipto,10,Neossolo,20-40,5.9,31.5,15.9,0.65,18.2,1.35,28.7,68
