Municipio,PIB_Agro_milhoes,Empregos_Agro,Area_Plantada_ha,Recursos_Hidricos_m3,Desmatamento_km2,Investimento_Gov_milhoes,Exportacao_Agro_milhoes,IDH,Educacao_Superior_%,Infraestrutura_Rodoviaria_km
Agroville,850.3,12500,185000,2850000,15.2,45.2,320.5,0.785,28.5,285.3
Verdevalley,720.8,9800,152000,1980000,22.8,38.7,285.3,0.752,24.8,198.7
Campofértil,950.6,14200,210000,3250000,8.9,52.1,385.2,0.812,32.1,325.8
Secaville,580.4,7500,118000,1520000,35.6,28.9,198.4,0.698,18.9,152.3
Florestagro,890.5,13200,192000,2980000,12.3,48.5,352.8,0.798,30.2,298.4
Ruralpolis,650.7,8900,138000,1750000,28.9,32.4,225.6,0.728,22.4,175.9
Aquaville,920.8,13800,205000,3150000,10.5,50.8,372.5,0.805,31.5,315.2
Aridolandia,520.3,6800,105000,1280000,42.3,25.6,172.8,0.672,16.7,128.5
Techagro,980.2,14800,218000,3350000,7.8,55.3,402.8,0.825,34.8,335.7
Tradiville,610.5,8200,125000,1620000,31.2,30.8,208.9,0.715,20.3,162.8
Ecoagro,870.4,12800,188000,2920000,13.8,46.9,338.2,0.792,29.6,292.5
Pobreville,480.9,6200,98000,1150000,48.5,22.3,158.7,0.645,14.9,115.2
Modernfarm,930.7,14000,208000,3220000,9.2,51.6,382.1,0.815,32.8,322.4
Atradville,590.8,7800,115000,1480000,33.7,29.5,192.5,0.705,19.2,148.6
Sustentagro,900.2,13500,198000,3080000,11.2,49.3,362.8,0.802,31.0,308.3
Carenteville,510.6,6500,102000,1220000,45.2,24.1,165.3,0.658,15.8,122.4
Inovagro,960.9,14500,215000,3280000,8.3,53.8,395.6,0.818,33.5,328.9
Rusticville,570.3,7400,112000,1420000,36.8,28.2,185.9,0.692,18.1,142.7
Hydrofarm,885.6,13000,190000,2950000,12.9,47.6,345.9,0.795,29.9,295.8
Secaville2,530.8,6900,108000,1350000,40.1,26.3,178.2,0.665,17.2,135.3
Precisionagro,945.3,14200,212000,3180000,9.8,52.7,378.9,0.809,32.3,318.5
Subdesville,495.7,6300,99500,1180000,47.1,23.4,160.5,0.652,15.3,118.7
Organicvalley,875.8,12600,185000,2880000,14.5,45.8,332.7,0.788,28.9,288.4
Drylandia,540.2,7100,111000,1380000,38.9,27.1,175.6,0.678,17.8,138.2
Techfarm,970.5,14700,220000,3320000,7.5,54.6,398.7,0.822,34.2,332.8
Ruraltown,600.4,8000,120000,1550000,32.5,31.2,202.3,0.708,20.8,155.7
Greenagro,892.1,13300,195000,3020000,12.1,48.9,355.4,0.799,30.7,302.6
Poorville,505.3,6400,101000,1200000,46.3,23.8,163.8,0.655,16.2,120.5
Waterfarm,910.6,13600,200000,3120000,10.8,50.2,368.5,0.806,31.8,312.4
Desertville,550.7,7200,113000,1450000,37.5,27.8,180.9,0.685,18.5,145.8
Smartagro,955.8,14400,217000,3250000,8.6,53.2,392.1,0.816,33.1,325.3
Basicville,580.9,7700,117000,1500000,34.2,29.8,195.7,0.702,19.7,150.4
Ecofarm,882.4,12900,192000,2980000,13.2,47.1,342.6,0.794,29.3,298.7
Drytown,525.4,6800,106000,1320000,41.5,25.9,173.9,0.668,16.9,132.6
Futureagro,938.7,14100,210000,3150000,9.5,52.0,375.8,0.807,32.0,315.9
Lowdevville,490.2,6100,96500,1120000,49.2,22.8,156.4,0.642,14.5,112.3
Naturefarm,868.9,12400,182000,2850000,15.8,44.7,328.3,0.782,27.8,285.6
Aridtown,535.6,7000,109000,1400000,39.6,26.7,177.1,0.672,17.5,140.4
Innovfarm,965.2,14600,222000,3300000,7.9,54.1,396.8,0.820,33.8,330.5
Simpleville,595.3,7900,119000,1530000,33.1,30.5,200.1,0.705,20.1,153.2
Cleantech,897.5,13400,198000,3050000,11.7,49.6,358.9,0.801,31.3,305.7
Underdev,500.8,6200,99000,1160000,47.8,23.1,159.2,0.648,15.6,116.8
Biosustent,873.6,12700,188000,2920000,14.2,46.3,335.8,0.790,29.1,292.9
Droughtville,545.1,7300,114000,1430000,38.2,27.5,179.5,0.682,18.2,143.5
Digitalagro,948.9,14300,215000,3200000,8.9,53.5,380.7,0.813,32.6,320.8
Ruralbase,585.7,7600,116000,1480000,35.1,29.2,193.8,0.698,19.4,148.3
